trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,image_3.started,image_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_4.started,image_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,C.started,C.stopped,C.numClicks,C.timesOn,C.timesOff,D.started,D.stopped,D.numClicks,D.timesOn,D.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6470335000194609,660.2015362000093,None,660.2015362000093,None,660.2015362000093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,10.311875999963377,660.9201337000122,None,660.9201337000122,None,660.9201337000122,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22037037037037038,0.0824074074074074,1,0,0,1.8231982000288554,A,0.013352510053664446,None,671.2853623999981,None,4,"[1.407141900039278, 1.3403692999854684, 0.773214100045152, 1.8230173999909312]","[1.4071452000061981, 1.3403723999508657, 0.7732172000105493, 1.8230208999593742]",671.2853623999981,None,2,"[1.9733503999887034, 0.6229156000190414]","[1.9733538000145927, 0.6229186999844387]",671.2853623999981,None,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.9030668000341393,673.1561245999765,None,673.1561245999765,None,673.1561245999765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3923570000333712,675.1268837999669,None,675.1268837999669,None,675.1268837999669,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17962962962962964,-0.1259259259259259,1,0,0,2.5565666999900714,B,0.0037281099357642233,None,676.575234399992,None,4,"[1.407141900039278, 1.3403692999854684, 0.773214100045152, 1.8230173999909312]","[1.4071452000061981, 1.3403723999508657, 0.7732172000105493, 1.8230208999593742]",676.575234399992,None,3,"[1.9733503999887034, 0.6229156000190414, 2.5564432999817654]","[1.9733538000145927, 0.6229186999844387, 2.5564469000091776]",676.575234399992,None,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
7,0,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.002060899976641,679.1833487999975,None,679.1833487999975,None,679.1833487999975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
7,0,7,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.110316900012549,685.2523601999856,None,685.2523601999856,None,685.2523601999856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17962962962962964,-0.1259259259259259,1,0,0,1.2567842000280507,B,0.0021022100117988884,None,687.4199803000083,None,4,"[1.407141900039278, 1.3403692999854684, 0.773214100045152, 1.8230173999909312]","[1.4071452000061981, 1.3403723999508657, 0.7732172000105493, 1.8230208999593742]",687.4199803000083,None,4,"[1.9733503999887034, 0.6229156000190414, 2.5564432999817654, 1.2566425999975763]","[1.9733538000145927, 0.6229186999844387, 2.5564469000091776, 1.2566458999644965]",687.4199803000083,None,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
8,0,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17962962962962964,-0.1259259259259259,1,0,0,0.00026219995925202966,B,0.008410169975832105,None,688.6829127699951,None,4,"[1.407141900039278, 1.3403692999854684, 0.773214100045152, 1.8230173999909312]","[1.4071452000061981, 1.3403723999508657, 0.7732172000105493, 1.8230208999593742]",688.6829127699951,None,4,"[1.9733503999887034, 0.6229156000190414, 2.5564432999817654, 1.2566425999975763]","[1.9733538000145927, 0.6229186999844387, 2.5564469000091776, 9.460002183914185e-05]",688.6829127699951,None,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
9,0,9,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17962962962962964,-0.1259259259259259,1,0,0,0.0002647999790497124,B,0.002418970048893243,None,688.6829127699951,None,4,"[1.407141900039278, 1.3403692999854684, 0.773214100045152, 1.8230173999909312]","[1.4071452000061981, 1.3403723999508657, 0.7732172000105493, 1.8230208999593742]",688.6829127699951,None,4,"[1.9733503999887034, 0.6229156000190414, 2.5564432999817654, 1.2566425999975763]","[1.9733538000145927, 0.6229186999844387, 2.5564469000091776, 9.679998038336635e-05]",688.6829127699951,None,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
10,0,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17962962962962964,-0.1259259259259259,1,0,0,0.00026160001289099455,B,0.013262640044558793,None,688.6995698399958,None,4,"[1.407141900039278, 1.3403692999854684, 0.773214100045152, 1.8230173999909312]","[1.4071452000061981, 1.3403723999508657, 0.7732172000105493, 1.8230208999593742]",688.6995698399958,None,4,"[1.9733503999887034, 0.6229156000190414, 2.5564432999817654, 1.2566425999975763]","[1.9733538000145927, 0.6229186999844387, 2.5564469000091776, 9.480002336204052e-05]",688.6995698399958,None,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
11,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17962962962962964,-0.1259259259259259,1,0,0,0.0002586999908089638,B,0.007281839963980019,None,688.6995698399958,None,4,"[1.407141900039278, 1.3403692999854684, 0.773214100045152, 1.8230173999909312]","[1.4071452000061981, 1.3403723999508657, 0.7732172000105493, 1.8230208999593742]",688.6995698399958,None,4,"[1.9733503999887034, 0.6229156000190414, 2.5564432999817654, 1.2566425999975763]","[1.9733538000145927, 0.6229186999844387, 2.5564469000091776, 9.600003249943256e-05]",688.6995698399958,None,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
12,0,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17962962962962964,-0.1259259259259259,1,0,0,0.000255499966442585,B,0.0013467399985529482,None,688.6995698399958,None,4,"[1.407141900039278, 1.3403692999854684, 0.773214100045152, 1.8230173999909312]","[1.4071452000061981, 1.3403723999508657, 0.7732172000105493, 1.8230208999593742]",688.6995698399958,None,4,"[1.9733503999887034, 0.6229156000190414, 2.5564432999817654, 1.2566425999975763]","[1.9733538000145927, 0.6229186999844387, 2.5564469000091776, 9.34000127017498e-05]",688.6995698399958,None,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
13,0,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17962962962962964,-0.1259259259259259,1,0,0,0.00025969999842345715,B,0.012862309988122433,None,688.7162269099964,None,4,"[1.407141900039278, 1.3403692999854684, 0.773214100045152, 1.8230173999909312]","[1.4071452000061981, 1.3403723999508657, 0.7732172000105493, 1.8230208999593742]",688.7162269099964,None,4,"[1.9733503999887034, 0.6229156000190414, 2.5564432999817654, 1.2566425999975763]","[1.9733538000145927, 0.6229186999844387, 2.5564469000091776, 9.350001346319914e-05]",688.7162269099964,None,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
14,0,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17962962962962964,-0.1259259259259259,1,0,0,0.00025450001703575253,B,0.006915209989529103,None,688.7162269099964,None,4,"[1.407141900039278, 1.3403692999854684, 0.773214100045152, 1.8230173999909312]","[1.4071452000061981, 1.3403723999508657, 0.7732172000105493, 1.8230208999593742]",688.7162269099964,None,4,"[1.9733503999887034, 0.6229156000190414, 2.5564432999817654, 1.2566425999975763]","[1.9733538000145927, 0.6229186999844387, 2.5564469000091776, 9.47999651543796e-05]",688.7162269099964,None,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
15,0,15,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17962962962962964,-0.1259259259259259,1,0,0,0.00025450001703575253,B,0.000989809981547296,None,688.7162269099964,None,4,"[1.407141900039278, 1.3403692999854684, 0.773214100045152, 1.8230173999909312]","[1.4071452000061981, 1.3403723999508657, 0.7732172000105493, 1.8230208999593742]",688.7162269099964,None,4,"[1.9733503999887034, 0.6229156000190414, 2.5564432999817654, 1.2566425999975763]","[1.9733538000145927, 0.6229186999844387, 2.5564469000091776, 9.370001498609781e-05]",688.7162269099964,None,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.785011400003,None,space,3.856536000035703,688.785011400003,None,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
