trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,image_3.started,image_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_4.started,image_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,C.started,C.stopped,C.numClicks,C.timesOn,C.timesOff,D.started,D.stopped,D.numClicks,D.timesOn,D.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.08857142857142856,1,0,0,0.5689227500006382,A,0.0018036918008874636,None,64.05207333299768,None,7,"[0.6220653330019559, 0.38206679100039764, 0.3624853749970498, 0.8966971250010829, 0.3608361660008086, 0.9968049579983926, 0.5511572079994949]","[0.6220681250015332, 0.38206979100141325, 0.3624882499971136, 0.8966996669987566, 0.3608390830013377, 0.99680774999797, 0.5677160829982313]",64.05207333299768,None,0,,,64.05207333299768,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
7,0,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2509581240010448,64.66831199999797,None,64.66831199999797,None,64.66831199999797,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
7,0,7,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.35929379099979997,66.02104304100067,None,66.02104304100067,None,66.02104304100067,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.08857142857142856,1,0,0,1.3233298330014804,A,0.006156025796371978,None,66.46381591599857,None,8,"[0.6220653330019559, 0.38206679100039764, 0.3624853749970498, 0.8966971250010829, 0.3608361660008086, 0.9968049579983926, 0.5511572079994949, 1.3222528749975027]","[0.6220681250015332, 0.38206979100141325, 0.3624882499971136, 0.8966996669987566, 0.3608390830013377, 0.99680774999797, 0.5677160829982313, 1.32225599999947]",66.46381591599857,None,0,,,66.46381591599857,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
8,0,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.08857142857142856,1,0,0,0.00039516700053354725,A,0.00844014070025878,None,67.79197868269766,None,8,"[0.6220653330019559, 0.38206679100039764, 0.3624853749970498, 0.8966971250010829, 0.3608361660008086, 0.9968049579983926, 0.5511572079994949, 1.3222528749975027]","[0.6220681250015332, 0.38206979100141325, 0.3624882499971136, 0.8966996669987566, 0.3608390830013377, 0.99680774999797, 0.5677160829982313, 0.00016720799976610579]",67.79197868269766,None,0,,,67.79197868269766,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
9,0,9,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.08857142857142856,1,0,0,0.00035820799894281663,A,0.004518474699580111,None,67.79197868269766,None,8,"[0.6220653330019559, 0.38206679100039764, 0.3624853749970498, 0.8966971250010829, 0.3608361660008086, 0.9968049579983926, 0.5511572079994949, 1.3222528749975027]","[0.6220681250015332, 0.38206979100141325, 0.3624882499971136, 0.8966996669987566, 0.3608390830013377, 0.99680774999797, 0.5677160829982313, 0.00017837500126915984]",67.79197868269766,None,0,,,67.79197868269766,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
10,0,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.08857142857142856,1,0,0,0.00035695800033863634,A,0.000714016699930653,None,67.79197868269766,None,8,"[0.6220653330019559, 0.38206679100039764, 0.3624853749970498, 0.8966971250010829, 0.3608361660008086, 0.9968049579983926, 0.5511572079994949, 1.3222528749975027]","[0.6220681250015332, 0.38206979100141325, 0.3624882499971136, 0.8966996669987566, 0.3608390830013377, 0.99680774999797, 0.5677160829982313, 0.00016087499898276292]",67.79197868269766,None,0,,,67.79197868269766,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
11,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.08857142857142856,1,0,0,0.0003475839985185303,A,0.013715115397644695,None,67.80856557439765,None,8,"[0.6220653330019559, 0.38206679100039764, 0.3624853749970498, 0.8966971250010829, 0.3608361660008086, 0.9968049579983926, 0.5511572079994949, 1.3222528749975027]","[0.6220681250015332, 0.38206979100141325, 0.3624882499971136, 0.8966996669987566, 0.3608390830013377, 0.99680774999797, 0.5677160829982313, 0.0001483330015616957]",67.80856557439765,None,0,,,67.80856557439765,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
12,0,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.08857142857142856,1,0,0,0.0003562090023478959,A,0.010227074395515956,None,67.80856557439765,None,8,"[0.6220653330019559, 0.38206679100039764, 0.3624853749970498, 0.8966971250010829, 0.3608361660008086, 0.9968049579983926, 0.5511572079994949, 1.3222528749975027]","[0.6220681250015332, 0.38206979100141325, 0.3624882499971136, 0.8966996669987566, 0.3608390830013377, 0.99680774999797, 0.5677160829982313, 0.0001483330015616957]",67.80856557439765,None,0,,,67.80856557439765,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
13,0,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.08857142857142856,1,0,0,0.00032949999877018854,A,0.006721408397424966,None,67.80856557439765,None,8,"[0.6220653330019559, 0.38206679100039764, 0.3624853749970498, 0.8966971250010829, 0.3608361660008086, 0.9968049579983926, 0.5511572079994949, 1.3222528749975027]","[0.6220681250015332, 0.38206979100141325, 0.3624882499971136, 0.8966996669987566, 0.3608390830013377, 0.99680774999797, 0.5677160829982313, 0.0001499579993833322]",67.80856557439765,None,0,,,67.80856557439765,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
14,0,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.08857142857142856,1,0,0,0.0003172090000589378,A,0.003273325397458393,None,67.80856557439765,None,8,"[0.6220653330019559, 0.38206679100039764, 0.3624853749970498, 0.8966971250010829, 0.3608361660008086, 0.9968049579983926, 0.5511572079994949, 1.3222528749975027]","[0.6220681250015332, 0.38206979100141325, 0.3624882499971136, 0.8966996669987566, 0.3608390830013377, 0.99680774999797, 0.5677160829982313, 0.00014483400082099251]",67.80856557439765,None,0,,,67.80856557439765,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
15,0,15,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.08857142857142856,1,0,0,0.00032854200253495947,A,0.01647005010090652,None,67.82515246609763,None,8,"[0.6220653330019559, 0.38206679100039764, 0.3624853749970498, 0.8966971250010829, 0.3608361660008086, 0.9968049579983926, 0.5511572079994949, 1.3222528749975027]","[0.6220681250015332, 0.38206979100141325, 0.3624882499971136, 0.8966996669987566, 0.3608390830013377, 0.99680774999797, 0.5677160829982313, 0.0001441669992345851]",67.82515246609763,None,0,,,67.82515246609763,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
